bank_name,city,author,rating,review_text,extraction_date
BMCE Bank,Marrakech,Anonymous,Unknown,"Bad dealing with customers. They don't want to work and give reasons that don't exist. Just so that they don't help you achieve what you want to do or know about your account. As for me, I will not return to this bank again, and I will close my account in it",2026-03-30
BMCE Bank,Marrakech,Anonymous,Unknown,"Was told the atm worked, it then swallowed my card and the transaction was declined. …",2026-03-30
BMCE Bank,Fès,Anonymous,Unknown,Responsive staff and professional service,2026-03-30
BMCE Bank,Fès,Anonymous,Unknown,How are we going to contact you?,2026-03-30
BMCE Bank,Fès,Anonymous,Unknown,There is no way to reach them by phone.,2026-03-30
BMCE Bank,Tanger,Anonymous,Unknown,"i have been waiting more than 20min
but barbies are busy and preferring gossiping over thier work, 0 service",2026-03-30
BMCE Bank,Tanger,Anonymous,Unknown,"Not really satisfied of their service, they have several times problems with their system or internet connection. I've requested 2 times to change my agency and still no response. And the ATM doesn't work 50% of the time. And i had to pay …",2026-03-30
BMCE Bank,Tanger,Anonymous,Unknown,Never have paper at ATMs,2026-03-30
Crédit du Maroc,Rabat,Anonymous,Unknown,"They have the worst customer service, i need just my money back 🤬 …",2026-03-30
Crédit du Maroc,Rabat,Anonymous,Unknown,Service null,2026-03-30
Crédit du Maroc,Rabat,Anonymous,Unknown,"It's unacceptable that trying to contact your advisor and/or bank branch is so difficult. A number that never answers. An advisor presumed dead, apparently... it's shameful!",2026-03-30
Crédit du Maroc,Casablanca,Anonymous,Unknown,"The little star is just for show... This bank's services are appalling, including:
-constant waiting times at the branch (an average of 45 minutes in my …",2026-03-30
Crédit du Maroc,Casablanca,Anonymous,Unknown,"The 5 stars ESSENTIALLY for Mr. HICHAM, an extraordinary young man! And an added value for the bank! Helpful, fast and efficient! I thank you for what you do for your customers!",2026-03-30
Crédit du Maroc,Casablanca,Anonymous,Unknown,Service that borders on the ridiculous...,2026-03-30
Crédit du Maroc,Marrakech,Anonymous,Unknown,"Withdawl worked fine with my Chase ATM card, though it did not let me select which Chase account I wanted to take from, just defaulted. Got 1000 dirhams for $112 ( including 35 dh fee from the ATM ) for an overall rate of 8.93 per $.
Seems like a pretty safe location given wide street and plenty of people around.",2026-03-30
Crédit du Maroc,Marrakech,Anonymous,Unknown,Does the job! 35dh fee to withdraw cash,2026-03-30
Crédit du Maroc,Marrakech,Anonymous,Unknown,"ATM is working. Secure, well lit area. Reasonable commission fee. (~22dH). Used Chase debit card from US. Recommend",2026-03-30
Crédit du Maroc,Fès,Anonymous,Unknown,"Don't trust this bank. Really bad service, especially for Moroccans living outside the country. Communication is really bad. We are very disappointed.",2026-03-30
Crédit du Maroc,Fès,Anonymous,Unknown,"Terrible service. Communication is nonexistent. If you want to lose your money, then deposit it there; you'll have a very, very difficult and lengthy time-consuming and complicated bureaucracy trying to get it back. I think the bank is going bankrupt. Beware!!!",2026-03-30
Crédit du Maroc,Fès,Anonymous,Unknown,"They haven't settled something with my cousins, and it's been over a year! What are they after?",2026-03-30
Crédit du Maroc,Tanger,Anonymous,Unknown,good service,2026-03-30
Crédit du Maroc,Tanger,Anonymous,Unknown,"I went back to the CDM today to ask for information. The young woman at the counter was friendly, but the person who was supposed to help me would do well to learn a more businesslike tone. She clearly had many more important things to do …",2026-03-30
Crédit du Maroc,Tanger,Anonymous,Unknown,Friendly and helpful staff.,2026-03-30
Société Générale Maroc,Rabat,Anonymous,Unknown,"Extremely poor service, and it's not the first time. I have the impression it's even deliberate. One agent is at the counter while the others are having their breakfast in a room at the back of the branch, and customers are kept waiting. (These methods are outdated, even in public administrations.) Thumbs down 👎🏼👎🏼👎🏼👎🏼👎🏼 …",2026-03-30
Société Générale Maroc,Rabat,Anonymous,Unknown,"No phone number to contact customer service.
No follow-up.
Total dissatisfaction.",2026-03-30
Société Générale Maroc,Rabat,Anonymous,Unknown,No follow-up.,2026-03-30
Société Générale Maroc,Casablanca,Anonymous,Unknown,One of the best banks in Morocco,2026-03-30
Société Générale Maroc,Casablanca,Anonymous,Unknown,Un service null!!!,2026-03-30
Société Générale Maroc,Casablanca,Anonymous,Unknown,Near to,2026-03-30
Société Générale Maroc,Marrakech,Anonymous,Unknown,"Too luxurious compared to my expectations and too many services that I don't need, so for me the price is not in line with my expectations.",2026-03-30
Société Générale Maroc,Fès,Anonymous,Unknown,This is where a Société Générale chain bank is located.,2026-03-30
Société Générale Maroc,Tanger,Anonymous,Unknown,"Terrible service, over 45 minutes wait in the queue.",2026-03-30
Société Générale Maroc,Tanger,Anonymous,Unknown,"A good, clean agency with a respectful and helpful staff. Customers are highly recommended. Special thanks to the team.",2026-03-30
Société Générale Maroc,Tanger,Anonymous,Unknown,"Ramadan Mubarak, Kareem Saeed, and may you be well every year.",2026-03-30
CIH Bank,Rabat,Anonymous,Unknown,The lady on the right box is not responsible. I sat for 45min straight while she was talking to her family via phone talking about other family members. This is not the first time and i don’t know how CIH is accepting this as its representative,2026-03-30
CIH Bank,Rabat,Anonymous,Unknown,"Hello, we apologize that we were unable to meet your expectations. Please contact us at 4747 or via email at reclamations-clients@cihbank.ma so that we can better serve you.",2026-03-30
CIH Bank,Rabat,Anonymous,Unknown,"Lazy, rude and unhelpful employees. The employee (a skinny man with glasses on) behind the counter asked me to go all the way to Ifrane only to make a deposit. This is big time work avoidance. Although I'm not even surprised because ""ghir CIH"".",2026-03-30
CIH Bank,Rabat,Anonymous,Unknown,"Hello Oussama, We are sorry that we were unable to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
CIH Bank,Rabat,Anonymous,Unknown,"Had a wonderful experience with Hiba that restored all my faith in CIH. She s so polite and professional. Dont lose her , she s your only hope in this franchise.",2026-03-30
CIH Bank,Rabat,Anonymous,Unknown,Thank you Aisha Mami for your feedback! Your satisfaction motivates us every day 🚀. …,2026-03-30
CIH Bank,Casablanca,Anonymous,Unknown,"Very disappointing ATM experience. I tried to check the exchange rate using my UK Visa card and entered 100 MAD, but the machine added a 50 MAD transaction fee, making the total 150 MAD with the options to proceed or decline. I pressed the …",2026-03-30
CIH Bank,Casablanca,Anonymous,Unknown,"Hello Osama Elhaj, We are sorry that we were unable to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
CIH Bank,Casablanca,Anonymous,Unknown,"Very popular bank especially amongst students for what reason, i don’t know. Numerous complaints of poor costumer service. They should improve in that department ! I like their siege though.Great Architectural piece.",2026-03-30
CIH Bank,Casablanca,Anonymous,Unknown,Thank you Prosper Sunkyedong for your feedback 🙏. We have noted your comments to continue improving. …,2026-03-30
CIH Bank,Casablanca,Anonymous,Unknown,"One of the worst banks I've ever dealt with. Complained twice about same issue and I've been waiting for 2 month in vain, my issue is never resolved! They never reach out for an update and they never answer the phone. Not sure if they have …",2026-03-30
CIH Bank,Casablanca,Anonymous,Unknown,"Hello Lami Magh, We apologize for not being able to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
CIH Bank,Marrakech,Anonymous,Unknown,"This bank’s service is extremely bad. For more than six months, I have not received any bank card. I want to change my signature in order to withdraw my money, but the computer system always stops working at 11:30. The deputy manager is …",2026-03-30
CIH Bank,Marrakech,Anonymous,Unknown,"Hello Soulaiman Limni, We are sorry that we were unable to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
CIH Bank,Marrakech,Anonymous,Unknown,Line was too long. Lady didn’t help. For every question she answered with you’ll have to go the agency that opened your account with. She even was saying she’s in a hurry she needs to go home(at 12am),2026-03-30
CIH Bank,Marrakech,Anonymous,Unknown,"Hello, we apologize that we were unable to meet your expectations. Please contact us at 4747 or via email at reclamations-clients@cihbank.ma so that we can better serve you.",2026-03-30
CIH Bank,Marrakech,Anonymous,Unknown,"Jad assisted me today, he’s so professional always welcoming with a smile. The improvement can be recognized. Good job on hiring these young understanding people.",2026-03-30
CIH Bank,Marrakech,Anonymous,Unknown,Thank you Anass for your feedback 🙏. We've noted your comments to continue improving. …,2026-03-30
CIH Bank,Fès,Anonymous,Unknown,Cih  worst bank company in morocco,2026-03-30
CIH Bank,Fès,Anonymous,Unknown,"Hello Sad Pantsu, We are sorry that we were unable to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
CIH Bank,Fès,Anonymous,Unknown,This bank branch was very bad. The service is deplorable and customer treatment lacks professionalism. Customer attention does not seem to be their priority and services need improvement.,2026-03-30
CIH Bank,Fès,Anonymous,Unknown,"Hello Imane Boutalline, We are sorry that we were unable to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
CIH Bank,Fès,Anonymous,Unknown,"Without a doubt, the worst bank in the world. The employees seem completely incompetent, and their customer service is a disaster. Despite my numerous attempts to contact them, they failed to provide any response or assistance whatsoever. Avoid this bank at all costs, as their level of service is simply appalling.",2026-03-30
CIH Bank,Fès,Anonymous,Unknown,"Hello El Mehdi Idrissi, We are sorry that we were unable to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
CIH Bank,Tanger,Anonymous,Unknown,The CIH Bank is one of the larger banks in Tangier that specializes in mortgage and home improvement loans for villas and apartments. …,2026-03-30
CIH Bank,Tanger,Anonymous,Unknown,Thank you Kenneth Tangerois3 Maroc for your feedback 🙏. We have noted your comments to continue improving. …,2026-03-30
CIH Bank,Tanger,Anonymous,Unknown,"I went to get my new card, and had spent over an hour waiting for the unproductive workers there, and suddenly, after I finally got my turn, one of the women there told me that you would find your card at the first bank you opened your …",2026-03-30
CIH Bank,Tanger,Anonymous,Unknown,"Hello Jo Hn, We are sorry that we were unable to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
CIH Bank,Tanger,Anonymous,Unknown,"The worst bank eveeeeeeeer
I can’t wait to go to Morocco and close my account With them .",2026-03-30
CIH Bank,Tanger,Anonymous,Unknown,"Hello Mohamed Rahimi, We are sorry that we were unable to meet your expectations. We invite you to contact us at 4747 or by email at reclamations-clients@cihbank.ma so that we can provide you with better service.",2026-03-30
